data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.117318
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.716134
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.628358
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.350641
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.328987
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.176168
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.198962
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.226464
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.219115
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.214109
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.162774
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.086490
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.068348
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.020445
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.049221
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.042167
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.074066
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.025815
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.042514
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.014487
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.023867
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.040039
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.033420
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.042436
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.027297
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.016174
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.016730
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.005332
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.022665
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.004219
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.016615
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.001560
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008367
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.004888
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.005487
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.009150
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.005692
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.008212
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.004808
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.003889
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.005086
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.001117
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004333
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.000618
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004717
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.001535
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.004183
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.004270
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003975
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.006940
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.004091
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.005911
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.003413
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.003081
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.003178
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.001662
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002956
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:029, data loss:0.001743
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.002943
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:030, data loss:0.002949
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.002184
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:031, data loss:0.003985
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.002145
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:032, data loss:0.003169
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.002055
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:033, data loss:0.002126
