data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.809622
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.330227
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.300205
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.117544
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.161345
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.185667
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.204002
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.158868
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.133272
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.041421
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.056296
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.056524
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.095640
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.073663
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.078271
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.016205
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.030815
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.027095
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.042033
