data path:
['data/XJTU data/R2.5_battery-7.csv', 'data/XJTU data/R2.5_battery-6.csv', 'data/XJTU data/R2.5_battery-3.csv', 'data/XJTU data/R2.5_battery-2.csv', 'data/XJTU data/R2.5_battery-1.csv', 'data/XJTU data/R2.5_battery-5.csv']
data path:
['data/XJTU data/R2.5_battery-8.csv', 'data/XJTU data/R2.5_battery-4.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.714740
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.247758
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.141092
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.046260
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.078578
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.060580
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.044874
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.004728
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024827
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.017030
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.017133
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.003690
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010178
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.005142
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.008140
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.004395
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005329
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.001916
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003652
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.003245
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004064
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.002102
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002608
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.002540
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002284
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001857
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002320
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.002032
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002486
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.002878
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001851
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.000999
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001682
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.002793
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001712
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001985
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001482
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001261
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001450
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001683
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001475
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001532
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001259
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.002008
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001173
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001474
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001089
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.000803
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001229
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.001338
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001183
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:026, data loss:0.002178
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001030
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:027, data loss:0.001520
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000974
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:028, data loss:0.001559
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000859
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:029, data loss:0.001247
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000837
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:030, data loss:0.001471
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000749
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:031, data loss:0.000993
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000835
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:032, data loss:0.000985
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000683
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:033, data loss:0.001111
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000657
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:034, data loss:0.001418
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000638
