data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.552142
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.263019
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.221457
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.127996
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.144315
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.151661
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.150014
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.101018
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.088898
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.026737
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.047590
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.048265
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.074806
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.043327
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.053564
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.011618
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.031307
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.027840
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.042573
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.018634
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.025255
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.002346
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.018571
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.011033
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.023729
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.008780
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.018453
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.002148
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.011599
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.011390
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.015161
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.010786
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.010650
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.001424
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.007460
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.001846
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.009947
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.000781
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.005902
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.002527
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.004423
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.007298
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.005344
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.003691
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003154
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.000614
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.004035
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.000522
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003018
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.002642
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002668
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.004447
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002749
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.002293
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.002271
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.000623
