data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.528216
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.173028
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.134301
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.022981
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.060280
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.071023
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.074980
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.014282
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024048
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.010407
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.033865
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.021311
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.026932
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.009143
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012705
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.003087
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.010948
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.004417
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.009210
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.002540
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005935
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001258
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004896
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.001792
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003673
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001342
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002958
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.000760
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002521
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.001237
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002095
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.000745
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001857
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.001108
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001632
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001102
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001499
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.000899
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001296
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.000965
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001264
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.000855
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001063
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.000931
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001120
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.000750
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000992
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.000821
