data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.448293
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.080887
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.074002
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.058804
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.060885
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.020097
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.031565
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.011812
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024506
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.011493
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013211
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.002302
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009797
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.003387
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007321
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.002749
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005020
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.001561
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003561
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.002351
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002630
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.001213
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002447
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.002477
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002382
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.001598
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002233
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.002229
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001822
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.001421
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001667
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.001859
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001513
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.001388
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001526
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.001788
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001427
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.001650
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001369
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.001114
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001326
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.001684
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001380
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.001937
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001281
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.001988
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001187
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.000657
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001209
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.000907
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001119
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.001256
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001052
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.001789
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001051
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.001617
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000922
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:029, data loss:0.001248
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000965
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:030, data loss:0.001341
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000916
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:031, data loss:0.001090
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000875
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:032, data loss:0.000847
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000896
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:033, data loss:0.000890
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000882
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:034, data loss:0.001116
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000739
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:035, data loss:0.001111
