data path:
['data/XJTU data/R2.5_battery-7.csv', 'data/XJTU data/R2.5_battery-6.csv', 'data/XJTU data/R2.5_battery-3.csv', 'data/XJTU data/R2.5_battery-2.csv', 'data/XJTU data/R2.5_battery-1.csv', 'data/XJTU data/R2.5_battery-5.csv']
data path:
['data/XJTU data/R2.5_battery-8.csv', 'data/XJTU data/R2.5_battery-4.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.481964
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.096034
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.068658
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.057265
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.051311
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.012450
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.028714
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.014009
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020059
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.005470
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.010663
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.003588
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007928
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.002392
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005038
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.001454
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003303
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.002096
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002923
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.001608
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002172
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001821
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001985
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.001749
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001853
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001336
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001492
