data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.902223
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.188831
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.151041
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.149340
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.124280
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.022704
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.065431
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.031588
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.050842
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.018776
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.038391
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.004874
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.022906
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.005633
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.017178
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.007054
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.010700
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.001569
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007337
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.005605
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005703
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.002485
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004477
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.005267
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003337
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.002423
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002855
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.002168
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002909
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.002840
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002154
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.002498
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001759
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.003597
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001630
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.002359
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001694
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.002713
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001584
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.003049
