data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.752751
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.269650
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.205564
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.073915
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.103179
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.101703
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.103900
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.041413
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.034665
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.003679
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.022170
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.016243
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.022052
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.013873
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012866
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.010919
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.010777
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.005881
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006029
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.003726
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004925
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001475
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005585
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.005059
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004286
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.003281
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003367
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.001458
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003327
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.005860
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002702
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001799
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002578
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.003046
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002232
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.002822
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002063
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001951
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.002021
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.003416
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.002017
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.002170
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001677
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.003402
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001790
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001827
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001631
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.002932
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001691
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.002053
