data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.582583
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.181417
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.124803
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.024143
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.067740
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.068765
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.074538
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.016733
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.025520
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.008661
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.029866
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.015812
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.020195
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.008345
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.009401
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.003918
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008894
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.003985
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007016
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.004198
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005071
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001690
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004494
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.002543
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002906
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001843
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002272
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.001715
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002240
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.001630
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001794
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001293
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002014
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.001917
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001756
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001192
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001662
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.002103
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001399
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001044
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001424
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001912
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001358
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.000939
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001355
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001870
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001187
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.001237
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001034
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.001301
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000976
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:026, data loss:0.001063
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000946
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:027, data loss:0.001356
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000862
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:028, data loss:0.001147
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000950
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:029, data loss:0.000977
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000813
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:030, data loss:0.001499
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000805
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:031, data loss:0.001049
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000775
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:032, data loss:0.000801
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000697
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:033, data loss:0.000864
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000669
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:034, data loss:0.001350
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000676
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:035, data loss:0.001278
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000584
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:036, data loss:0.000921
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000673
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:037, data loss:0.000667
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000543
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:038, data loss:0.000783
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000539
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:039, data loss:0.001179
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000471
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:040, data loss:0.000895
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000475
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:041, data loss:0.000663
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000471
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:042, data loss:0.000641
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000448
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:043, data loss:0.000934
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000445
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:044, data loss:0.000614
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000425
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:045, data loss:0.000583
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000425
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:046, data loss:0.000419
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000421
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:047, data loss:0.000922
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000472
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:048, data loss:0.000806
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000456
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:049, data loss:0.000748
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000363
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:050, data loss:0.000499
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000361
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:051, data loss:0.000541
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000391
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:052, data loss:0.000642
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000360
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:053, data loss:0.001044
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000457
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:054, data loss:0.001029
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000447
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:055, data loss:0.000552
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000403
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:056, data loss:0.000247
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000402
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:057, data loss:0.000265
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000365
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:058, data loss:0.000517
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000387
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:059, data loss:0.000629
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000366
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:060, data loss:0.000592
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000330
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:061, data loss:0.000463
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000334
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:062, data loss:0.000292
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000349
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:063, data loss:0.000300
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:064, data loss:0.000349
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:064, data loss:0.000348
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:065, data loss:0.000309
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:065, data loss:0.000634
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:066, data loss:0.000310
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:066, data loss:0.000890
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:067, data loss:0.000341
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:067, data loss:0.000524
