data path:
['data/XJTU data/R2.5_battery-7.csv', 'data/XJTU data/R2.5_battery-6.csv', 'data/XJTU data/R2.5_battery-3.csv', 'data/XJTU data/R2.5_battery-2.csv', 'data/XJTU data/R2.5_battery-1.csv', 'data/XJTU data/R2.5_battery-5.csv']
data path:
['data/XJTU data/R2.5_battery-8.csv', 'data/XJTU data/R2.5_battery-4.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.351738
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.034504
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.061986
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.047345
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.046655
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.013442
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.033607
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.006334
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.021538
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.007112
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016305
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.001768
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.013410
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.001899
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010208
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.001960
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008286
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.000715
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005491
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.001560
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004457
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001698
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003162
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.001047
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002427
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001178
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001828
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.001795
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002046
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.001027
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001632
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001626
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001347
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.000815
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001314
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001505
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001182
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001863
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001317
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001495
