data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.038059
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.494564
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.404613
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.153219
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.106933
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.048025
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.110370
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.084502
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.068684
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.005497
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.030216
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.019608
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.042283
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.024900
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.023253
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.010572
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011957
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.003588
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.012152
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.009487
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.008924
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.004164
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.005476
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.003263
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003867
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.005208
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003508
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.001996
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003448
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.004611
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002918
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.003079
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002493
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.003627
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002279
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.003829
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002313
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.003565
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001933
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.002973
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001921
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.003631
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001709
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.002832
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001723
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.003057
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001535
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.003031
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001466
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.002152
