data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.289087
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.034256
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.047154
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.041168
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.039750
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.004445
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.023955
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.011897
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.018061
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.002673
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.010510
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.002451
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.008583
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.000787
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005407
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.000829
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004688
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.000399
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002986
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.001510
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002605
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.000635
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001797
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.000244
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001439
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.000628
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001174
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.000784
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001028
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.000901
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.000982
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.000786
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000908
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.000689
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000865
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.000381
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000760
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.000370
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000768
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.000430
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000725
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.000687
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000634
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.000781
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000682
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.000585
