data path:
['data/XJTU data/R2.5_battery-7.csv', 'data/XJTU data/R2.5_battery-6.csv', 'data/XJTU data/R2.5_battery-3.csv', 'data/XJTU data/R2.5_battery-2.csv', 'data/XJTU data/R2.5_battery-1.csv', 'data/XJTU data/R2.5_battery-5.csv']
data path:
['data/XJTU data/R2.5_battery-8.csv', 'data/XJTU data/R2.5_battery-4.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.876683
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.414581
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.234565
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.057971
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.075731
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.081774
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.066609
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.013810
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.021367
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.007190
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015156
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.010324
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.011115
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.006208
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006237
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.003131
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004651
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.003355
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004111
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.003496
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003707
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.002827
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002785
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.003685
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002662
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.002851
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002281
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.002768
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002015
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.002303
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002347
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.002395
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002807
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.003845
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002059
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001404
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002115
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.003398
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.002166
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.002224
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.002023
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.002631
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001426
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.002414
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001395
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001586
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001377
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.001728
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001431
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.003970
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001283
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:026, data loss:0.002819
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001226
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:027, data loss:0.001043
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001048
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:028, data loss:0.000872
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001045
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:029, data loss:0.000876
