data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.007406
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.561203
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.506907
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.230704
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.217346
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.115885
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.139855
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.185175
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.175112
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.181626
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.138854
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.076110
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.052757
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.016447
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.037938
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.031833
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.057669
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.020695
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.033017
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.005085
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.014876
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.020255
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.020948
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.029351
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.021238
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.012853
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.010030
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.002599
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.011828
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.004353
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.013800
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.002616
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.009453
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.002982
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006228
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.010640
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.008013
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.011613
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.006260
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.004051
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003820
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.000667
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004394
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.000522
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003307
