data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.782417
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.346047
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.310888
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.180138
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.204523
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.225589
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.219912
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.170978
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.132822
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.053845
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.064200
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.040506
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.085700
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.054679
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.069812
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.019898
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.032748
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.021106
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.025424
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.018111
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.015323
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.003338
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.023750
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.003516
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.021676
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.005717
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.010104
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.017596
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.010357
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.012208
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.008397
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.001915
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008325
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.001504
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.011207
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.000861
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.007429
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.004626
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.005962
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.011529
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.007081
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.008118
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004502
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.002404
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.005204
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.001443
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.004029
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.004673
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003549
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.008853
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.003924
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.005254
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002964
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.001274
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.003601
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.001121
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.003386
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:029, data loss:0.004108
