data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.984283
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.583164
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.494325
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.271746
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.250739
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.211579
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.218239
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.248255
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.199363
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.140312
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.099059
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.022958
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.050121
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.052346
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.085012
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.042411
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.065248
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.025231
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.041944
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.060263
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.051243
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.040012
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.027233
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.007651
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.024817
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.006597
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.027377
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.002579
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.015679
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.003581
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.008783
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.010784
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.010261
