data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.503800
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.108694
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.089630
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.048140
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.068833
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.028995
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.040496
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.012779
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.029145
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.011022
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.021454
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.002364
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.013193
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.002494
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012065
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.001873
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008181
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.001444
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005734
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.001445
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004416
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001347
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003603
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.002600
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002785
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.000893
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002392
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.001879
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002018
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.002601
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001789
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001780
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001468
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.001281
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001350
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001763
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001385
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001759
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001353
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001912
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001263
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001632
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001049
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.001213
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001024
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001260
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000928
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.001653
