data path:
['data/XJTU data/R2.5_battery-7.csv', 'data/XJTU data/R2.5_battery-6.csv', 'data/XJTU data/R2.5_battery-3.csv', 'data/XJTU data/R2.5_battery-2.csv', 'data/XJTU data/R2.5_battery-1.csv', 'data/XJTU data/R2.5_battery-5.csv']
data path:
['data/XJTU data/R2.5_battery-8.csv', 'data/XJTU data/R2.5_battery-4.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.292404
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.034008
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.051431
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.050534
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.044065
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.007306
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.016353
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.010241
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.014257
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.004121
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005937
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.001254
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.004749
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.004059
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003596
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.001537
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002564
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.001462
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001954
