data path:
['data/XJTU data/R2.5_battery-7.csv', 'data/XJTU data/R2.5_battery-6.csv', 'data/XJTU data/R2.5_battery-3.csv', 'data/XJTU data/R2.5_battery-2.csv', 'data/XJTU data/R2.5_battery-1.csv', 'data/XJTU data/R2.5_battery-5.csv']
data path:
['data/XJTU data/R2.5_battery-8.csv', 'data/XJTU data/R2.5_battery-4.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.471528
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.139372
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.079446
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.040340
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.069108
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.030988
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.027310
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.014605
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.025945
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.010094
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013925
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.001990
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010464
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.003390
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007166
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.000672
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005436
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.002416
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004103
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.000603
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003220
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.001601
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002501
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.001398
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002205
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.000828
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001858
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.000938
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001532
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.001873
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001489
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.000818
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001365
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.000999
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001264
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001147
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001177
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001444
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001032
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001216
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001218
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001520
