data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.772004
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.261033
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.143969
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.039500
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.071460
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.063590
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.048713
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.009039
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020009
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.004467
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.011756
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.007004
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007215
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.003731
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005270
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.003371
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003835
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.003110
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002616
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.001819
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002410
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.002782
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001856
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.001609
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001640
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.002552
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001433
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.001659
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001351
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.002387
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001132
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001464
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001101
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.002194
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001159
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001440
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001025
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001731
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000942
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001509
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001043
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001725
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000843
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.001749
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000838
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001050
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000750
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.001780
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000728
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.001401
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000850
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:026, data loss:0.001463
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000740
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:027, data loss:0.000919
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000715
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:028, data loss:0.000786
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000747
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:029, data loss:0.001165
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000703
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:030, data loss:0.001367
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000605
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:031, data loss:0.001187
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000615
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:032, data loss:0.001110
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000593
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:033, data loss:0.001238
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000590
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:034, data loss:0.001308
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000518
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:035, data loss:0.001209
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000607
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:036, data loss:0.000774
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000507
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:037, data loss:0.000598
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000511
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:038, data loss:0.000775
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000468
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:039, data loss:0.000725
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000488
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:040, data loss:0.000798
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000430
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:041, data loss:0.000752
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000454
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:042, data loss:0.000828
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000503
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:043, data loss:0.000796
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000436
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:044, data loss:0.000843
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000473
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:045, data loss:0.000728
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000456
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:046, data loss:0.000822
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000433
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:047, data loss:0.000639
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000411
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:048, data loss:0.000609
