data path:
['data/XJTU data/RW_battery-3.csv', 'data/XJTU data/RW_battery-2.csv', 'data/XJTU data/RW_battery-6.csv', 'data/XJTU data/RW_battery-7.csv', 'data/XJTU data/RW_battery-5.csv', 'data/XJTU data/RW_battery-1.csv']
data path:
['data/XJTU data/RW_battery-4.csv', 'data/XJTU data/RW_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.855550
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.523940
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.462431
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.255917
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.225719
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.125677
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.138863
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.132773
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.134041
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.107955
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.085147
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.023437
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.039912
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.036020
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.080537
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.040020
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.057758
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.024944
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.040716
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.057444
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.050107
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.023791
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.021551
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.003889
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.025999
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.011163
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.028440
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.001907
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.011223
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.014683
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.014941
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.022129
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.013955
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.006777
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006708
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.000927
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.009390
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.001449
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.008097
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.001265
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003900
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.009239
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.006306
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.010424
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.005390
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.002288
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003664
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.000429
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.005145
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.000626
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002827
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.004989
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.003245
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.007430
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.003089
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.002600
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002242
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:029, data loss:0.000448
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.002618
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:030, data loss:0.000917
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001961
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:031, data loss:0.003480
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.002156
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:032, data loss:0.003823
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.002006
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:033, data loss:0.001775
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001737
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:034, data loss:0.000939
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001815
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:035, data loss:0.001566
