data path:
['data/XJTU data/R3_battery-5.csv', 'data/XJTU data/R3_battery-3.csv', 'data/XJTU data/R3_battery-7.csv', 'data/XJTU data/R3_battery-6.csv', 'data/XJTU data/R3_battery-1.csv', 'data/XJTU data/R3_battery-2.csv']
data path:
['data/XJTU data/R3_battery-4.csv', 'data/XJTU data/R3_battery-8.csv']
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.587238
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.092555
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.084556
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.088280
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.077884
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.018866
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034685
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.017405
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.029621
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.011257
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015878
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.002807
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009811
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.002896
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005637
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.002720
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003560
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.001930
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002476
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.002540
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002231
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.001890
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001764
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.001611
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001594
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.001928
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001286
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.001143
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001339
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.002225
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001130
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.001472
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001098
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.001109
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000974
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.001912
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000966
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.001667
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000943
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.001267
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000924
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.001136
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000871
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.001129
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000809
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.001181
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000812
2025-07-07 08:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.001622
2025-07-07 08:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000765
