data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.583581
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.234089
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.212929
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.078063
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.064858
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.024846
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.063988
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.044392
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.044889
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.009867
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.020853
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.013991
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.027961
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.009582
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.015278
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.009162
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011323
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.003162
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.009641
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.001965
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006525
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.004236
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004823
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.001882
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004377
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.000965
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003193
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.002858
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002609
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.000707
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002471
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001116
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002194
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.002141
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001986
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.000995
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001921
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.002091
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001870
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.001140
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001577
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001940
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001611
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.000936
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001467
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.001538
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001374
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.001288
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001307
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.001264
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001275
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:026, data loss:0.001523
