data path:
['data/XJTU data/2C_battery-6.csv', 'data/XJTU data/2C_battery-2.csv', 'data/XJTU data/2C_battery-5.csv', 'data/XJTU data/2C_battery-1.csv', 'data/XJTU data/2C_battery-7.csv', 'data/XJTU data/2C_battery-3.csv']
data path:
['data/XJTU data/2C_battery-4.csv', 'data/XJTU data/2C_battery-8.csv']
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.623916
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:001, data loss:0.201776
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.171481
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:002, data loss:0.051889
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.073983
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:003, data loss:0.071977
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.080111
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:004, data loss:0.013428
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.030815
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:005, data loss:0.016032
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.038995
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:006, data loss:0.017656
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.022492
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:007, data loss:0.006771
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011277
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:008, data loss:0.004306
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011759
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:009, data loss:0.004969
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007711
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:010, data loss:0.003775
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004975
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:011, data loss:0.002011
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003276
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:012, data loss:0.003027
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002818
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:013, data loss:0.001339
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002414
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:014, data loss:0.002010
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002167
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:015, data loss:0.001771
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001939
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:016, data loss:0.001519
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001631
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:017, data loss:0.001720
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001601
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:018, data loss:0.001970
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001363
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:019, data loss:0.001793
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001431
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:020, data loss:0.002002
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001241
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:021, data loss:0.001416
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001117
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:022, data loss:0.001504
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001086
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:023, data loss:0.002187
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001128
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:024, data loss:0.001104
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001024
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:025, data loss:0.001300
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001007
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:026, data loss:0.002124
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000869
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:027, data loss:0.001562
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000820
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:028, data loss:0.001450
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000859
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:029, data loss:0.001220
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000749
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:030, data loss:0.001014
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000677
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:031, data loss:0.001672
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000684
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:032, data loss:0.001224
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000656
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:033, data loss:0.001772
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000598
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:034, data loss:0.001670
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000685
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:035, data loss:0.001008
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000626
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:036, data loss:0.000589
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000684
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:037, data loss:0.000908
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000644
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:038, data loss:0.000996
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000606
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:039, data loss:0.001360
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000566
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:040, data loss:0.001436
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000588
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:041, data loss:0.001146
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000559
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:042, data loss:0.000906
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000509
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:043, data loss:0.000680
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000491
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:044, data loss:0.000552
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000581
2025-07-07 08:35 - function:valid - INFO - [Valid] epoch:045, data loss:0.000776
2025-07-07 08:35 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000457
